"Frame","PC1","PC2"
1,11.4497171970626,-12.172121275684
2,13.4549759849261,-11.9044568674017
3,12.5033514659912,-11.1225419921644
4,13.0712086991776,-9.67881425269577
5,11.6720315977146,-10.4118351893087
6,10.7817497425657,-12.4410745865324
7,9.87044940287411,-10.9166388818501
8,9.40720361064423,-12.4832200962148
9,11.5971059983867,-10.9007915622168
10,10.2552389143354,-13.1139021986622
11,11.7312370965876,-11.7443103536142
12,13.1860680770509,-13.197531321706
13,11.4289186873431,-12.7897741478563
14,11.4220686725799,-12.7172031340515
15,10.0049359467706,-12.6819100634318
16,11.3436932020637,-10.6276316883641
17,9.28616433603151,-10.9237879646497
18,12.4961620380896,-10.9835933985994
19,9.58017941506205,-12.2677333444777
20,10.5489405155708,-9.7962176285831
21,9.10771711770619,-7.39877596549334
22,11.7660003057943,-8.27811535382916
23,10.2312623753341,-10.7161783792256
24,9.69888651176097,-12.6576847420351
25,9.07415995627647,-11.114999233443
26,8.08367897977816,-10.5014082452692
27,6.5408128494081,-8.7696679618016
28,7.34226893487404,-9.60636525056035
29,7.5557811318624,-8.80766687839388
30,9.46865335012957,-9.03943610559977
31,6.82871927269596,-9.29649734202359
32,8.01273618785518,-8.87275445841239
33,7.15022622635068,-9.32950161630715
34,8.0335680401046,-6.86417781357182
35,7.92159742025014,-6.47430296226973
36,8.34429170852491,-5.78503424099014
37,9.22818518261758,-6.85003624920958
38,9.22202328140222,-6.89563803039019
39,8.74294116949937,-7.01461851996873
40,10.8827043078628,-8.41153645675033
41,8.49642116510672,-8.03981602938399
42,9.73529095883354,-7.20365346410634
43,12.7661417276473,-7.43361864329647
44,11.3608005051358,-9.28242199325571
45,12.1375608999855,-8.8648078553397
46,10.2849409280413,-8.85464094724873
47,9.08263103005876,-10.4048971025693
48,10.3506970869294,-8.74492280628441
49,10.2325159544897,-7.79779322164942
50,7.80072131144935,-7.86862375405862
51,7.66691602851024,-8.74586070574445
52,7.28608649422759,-7.2410209459997
53,8.31039239117957,-8.4166845052283
54,10.0592931893961,-9.13343502387321
55,8.78703004669908,-7.42010661698085
56,9.37026707121959,-7.1670081096018
57,9.34761356540354,-6.52887131138491
58,9.50403918620915,-5.77036885741815
59,7.9237515396709,-7.08310640861115
60,10.4509286532421,-8.59480480738538
61,11.1800215411615,-6.60189701581157
62,8.89533293801423,-7.65494658635747
63,11.3973697171704,-7.08814546863277
