Frame,PC1,PC2
552,44.35883187,1.818688832
801,44.8289445,1.139745047
811,43.97015017,1.307125419
812,44.79679962,1.429952763
949,44.96824125,1.129701417
956,44.47145276,1.4416877
991,45.1521262,0.950686215
992,43.96189429,0.972376569
1022,43.77139501,0.865446566
1023,44.45352971,0.860578318
1060,43.80265874,1.510778496
1061,44.61775047,1.434405435
1069,43.56769736,1.627003243
1225,43.37761949,1.336903832
1249,44.66282134,1.309911123
1304,44.74992684,1.1328881
1670,44.31508675,1.822451672
2463,44.22939408,0.955513058
2745,44.78296585,1.94323047
2866,44.70611366,1.873972126
2932,45.44287394,1.091685961
3833,43.51255136,1.574753437
4238,43.67180428,1.792543062
5113,43.52418674,1.606928624
5116,44.28442795,1.926759259
5332,43.41670265,0.871876115
5336,43.70927517,1.620075332
5368,43.47464168,0.937812042
5401,43.80593234,1.628605093
5405,45.34417591,1.845515875
5407,44.22097901,0.92286915
5495,43.92434567,1.208394932
5608,44.40069748,1.58155259
6267,45.48629261,1.715265513
6556,44.97961948,0.737173754
6579,43.95580184,1.114873064
6581,44.40792892,1.69982191
6585,43.76647158,1.531459069
6586,45.08491613,0.781168851
6587,44.05342356,0.624783214
6588,43.56989842,0.695235049
6856,44.77241687,0.923490966
7580,44.02799438,1.466577257
7584,44.95277677,1.251966514
7594,44.3796826,1.455340887
7598,43.87367627,1.529643338
7604,43.46217981,0.814990528
7610,44.86394716,1.909335918
7684,44.17613523,1.073535192
7685,44.58726574,1.18172584
7687,43.86651614,1.885282365
7952,45.43870948,1.255459229
7953,44.97277832,1.883592821
7965,45.24227433,0.83589018
7968,44.41946326,1.585330618
7996,43.77857866,1.851737521
7997,45.14329955,1.329992394
8001,43.40264919,0.751589517
8003,44.93404229,0.789102328
8541,44.52872606,0.794431501
8550,44.7635664,0.737893082
8625,43.42248718,1.903630566
8652,43.36937309,0.812439874
8663,44.27882494,0.843420903
8665,44.3543283,1.250219239
8997,44.75432298,1.16226544
9000,43.74259519,0.726728937
9064,44.27440737,0.983525493
9065,45.15602128,1.689750759
9208,43.90979193,0.649619992
10279,44.33334853,0.86595822
10280,44.06341503,1.127111102
10296,43.67452026,0.806953702
10314,44.31967119,1.239962229
10318,43.42392624,1.831693811
10319,45.41983378,0.835975968
10328,44.67394624,1.691647627
10332,45.2722272,0.647194213
10503,44.20445931,0.968874517
10504,44.86330215,1.303964993
10518,44.71913429,1.452863559
10529,44.14961502,1.125337143
10542,43.81275449,1.264743359
10567,45.10221629,0.659532456
10572,45.02194956,1.112044498
10575,45.37558819,1.250939251
10633,43.78583336,1.841798578
10662,43.44432303,0.855641248
10679,44.98341652,0.940391535
10680,44.55527615,1.03275049
10690,43.89133444,0.813149321
10692,43.91546148,0.633543295
10693,44.03190146,0.913518578
10699,43.94870919,0.986569544
10727,44.48130967,0.947379081
10729,44.41191166,1.307566393
10766,44.71144565,1.762175538
10770,43.58491136,1.2769828
10778,43.59930297,0.736407163
10798,44.240575,0.705111583
10799,44.52582362,1.777807916
10806,44.18658644,1.489989928
10877,44.37938178,1.133066165
10878,43.74450607,0.935561011
10998,45.12696488,0.872500189
11104,45.24787521,1.56902999
11105,45.45795417,1.366555801
11107,44.83566597,1.83609088
11208,44.26677147,1.584696437
11210,44.04322698,1.24538006
11211,43.88277917,1.374714071
11495,44.15522891,1.123439418
11519,44.7303574,0.841226785
11521,44.88745485,1.384097127
11524,44.78010214,1.683245195
11529,44.38491183,1.06514796
11568,43.75653496,1.256144381
11569,45.4221183,1.189093567
11598,44.30391541,1.071713006
11639,45.13511704,1.275996829
12349,44.22512973,0.758611301
12448,43.7035663,1.569718248
12449,44.14019375,1.321618265
